layers.0.mlp.down_proj                        0.3568 mlp
layers.13.self_attn.v_proj                    0.4282 attn
layers.14.mlp.down_proj                       0.3121 mlp
layers.14.mlp.gate_proj                       0.3858 mlp
layers.14.mlp.up_proj                         0.3566 mlp
layers.14.self_attn.k_proj                    0.4845 attn
layers.14.self_attn.o_proj                    0.3921 attn
layers.14.self_attn.q_proj                    0.4359 attn
layers.14.self_attn.v_proj                    0.4113 attn
layers.15.mlp.down_proj                       0.3275 mlp
layers.15.mlp.gate_proj                       0.3899 mlp
layers.15.mlp.up_proj                         0.3620 mlp
layers.15.self_attn.k_proj                    0.4969 attn
layers.15.self_attn.o_proj                    0.3933 attn
layers.15.self_attn.q_proj                    0.4336 attn
layers.15.self_attn.v_proj                    0.4076 attn
layers.16.mlp.down_proj                       0.3220 mlp
layers.16.mlp.gate_proj                       0.3910 mlp
layers.16.mlp.up_proj                         0.3672 mlp
layers.16.self_attn.k_proj                    0.5094 attn
layers.16.self_attn.o_proj                    0.4270 attn
layers.16.self_attn.q_proj                    0.4549 attn
layers.16.self_attn.v_proj                    0.4255 attn
layers.17.mlp.down_proj                       0.3228 mlp
layers.17.mlp.gate_proj                       0.3865 mlp
layers.17.mlp.up_proj                         0.3669 mlp
layers.17.self_attn.k_proj                    0.5246 attn
layers.17.self_attn.o_proj                    0.4149 attn
layers.17.self_attn.q_proj                    0.4591 attn
layers.17.self_attn.v_proj                    0.4397 attn
layers.18.mlp.down_proj                       0.3279 mlp
layers.18.mlp.gate_proj                       0.3921 mlp
layers.18.mlp.up_proj                         0.3727 mlp
layers.18.self_attn.k_proj                    0.5290 attn
layers.18.self_attn.o_proj                    0.4347 attn
layers.18.self_attn.q_proj                    0.4618 attn
layers.18.self_attn.v_proj                    0.4382 attn
layers.19.mlp.down_proj                       0.3298 mlp
layers.19.mlp.gate_proj                       0.3861 mlp
layers.19.mlp.up_proj                         0.3674 mlp
layers.19.self_attn.k_proj                    0.5041 attn
layers.19.self_attn.o_proj                    0.4524 attn
layers.19.self_attn.q_proj                    0.4423 attn
layers.19.self_attn.v_proj                    0.4258 attn
layers.2.mlp.down_proj                        0.4195 mlp
layers.2.mlp.gate_proj                        0.5305 mlp
layers.2.mlp.up_proj                          0.5120 mlp
layers.2.self_attn.k_proj                     0.6643 attn
layers.2.self_attn.o_proj                     0.5122 attn
layers.2.self_attn.q_proj                     0.5975 attn
layers.2.self_attn.v_proj                     0.4881 attn
layers.20.mlp.down_proj                       0.3275 mlp
layers.20.mlp.gate_proj                       0.3879 mlp
layers.20.mlp.up_proj                         0.3696 mlp
layers.20.self_attn.k_proj                    0.4931 attn
layers.20.self_attn.o_proj                    0.4165 attn
layers.20.self_attn.q_proj                    0.4494 attn
layers.20.self_attn.v_proj                    0.4430 attn
layers.21.mlp.down_proj                       0.3239 mlp
layers.21.mlp.gate_proj                       0.3848 mlp
layers.21.mlp.up_proj                         0.3704 mlp
layers.21.self_attn.k_proj                    0.5113 attn
layers.21.self_attn.o_proj                    0.4263 attn
layers.21.self_attn.q_proj                    0.4462 attn
layers.21.self_attn.v_proj                    0.4333 attn
layers.22.mlp.down_proj                       0.3283 mlp
layers.22.mlp.gate_proj                       0.3884 mlp
layers.22.mlp.up_proj                         0.3715 mlp
layers.22.self_attn.k_proj                    0.5056 attn
layers.22.self_attn.o_proj                    0.4115 attn
layers.22.self_attn.q_proj                    0.4323 attn
layers.22.self_attn.v_proj                    0.4224 attn
layers.23.mlp.down_proj                       0.3410 mlp
layers.23.mlp.gate_proj                       0.3993 mlp
layers.23.mlp.up_proj                         0.3811 mlp
layers.23.self_attn.k_proj                    0.4847 attn
layers.23.self_attn.o_proj                    0.4153 attn
layers.23.self_attn.q_proj                    0.4236 attn
layers.23.self_attn.v_proj                    0.4107 attn
layers.24.mlp.down_proj                       0.3255 mlp
layers.24.mlp.gate_proj                       0.3944 mlp
layers.24.mlp.up_proj                         0.3795 mlp
layers.24.self_attn.k_proj                    0.5095 attn
layers.24.self_attn.o_proj                    0.4194 attn
layers.24.self_attn.q_proj                    0.4413 attn
layers.24.self_attn.v_proj                    0.4349 attn
layers.25.mlp.down_proj                       0.3208 mlp
layers.25.mlp.gate_proj                       0.3862 mlp
layers.25.mlp.up_proj                         0.3737 mlp
layers.25.self_attn.k_proj                    0.5033 attn
layers.25.self_attn.o_proj                    0.4081 attn
layers.25.self_attn.q_proj                    0.4411 attn
layers.25.self_attn.v_proj                    0.4267 attn
layers.26.mlp.down_proj                       0.3111 mlp
layers.26.mlp.gate_proj                       0.3760 mlp
layers.26.mlp.up_proj                         0.3640 mlp
layers.26.self_attn.k_proj                    0.4943 attn
layers.26.self_attn.o_proj                    0.3999 attn
layers.26.self_attn.q_proj                    0.4216 attn
layers.26.self_attn.v_proj                    0.4224 attn
layers.27.mlp.down_proj                       0.3098 mlp
layers.27.mlp.gate_proj                       0.3721 mlp
layers.27.mlp.up_proj                         0.3608 mlp
layers.27.self_attn.k_proj                    0.4934 attn
layers.27.self_attn.o_proj                    0.3880 attn
layers.27.self_attn.q_proj                    0.4340 attn
layers.27.self_attn.v_proj                    0.4139 attn
layers.28.mlp.down_proj                       0.3157 mlp
layers.28.mlp.gate_proj                       0.3741 mlp
layers.28.mlp.up_proj                         0.3621 mlp
layers.28.self_attn.k_proj                    0.4858 attn
layers.28.self_attn.o_proj                    0.3863 attn
layers.28.self_attn.q_proj                    0.4280 attn
layers.28.self_attn.v_proj                    0.4020 attn
layers.29.mlp.down_proj                       0.3078 mlp
layers.29.mlp.gate_proj                       0.3715 mlp
layers.29.mlp.up_proj                         0.3589 mlp
layers.29.self_attn.k_proj                    0.5096 attn
layers.29.self_attn.o_proj                    0.3669 attn
layers.29.self_attn.q_proj                    0.4370 attn
layers.29.self_attn.v_proj                    0.4072 attn
layers.3.mlp.down_proj                        0.3555 mlp
layers.3.mlp.gate_proj                        0.5295 mlp
layers.3.mlp.up_proj                          0.4803 mlp
layers.3.self_attn.k_proj                     0.6195 attn
layers.3.self_attn.o_proj                     0.4613 attn
layers.3.self_attn.q_proj                     0.5672 attn
layers.3.self_attn.v_proj                     0.4735 attn
layers.30.mlp.down_proj                       0.3057 mlp
layers.30.mlp.gate_proj                       0.3739 mlp
layers.30.mlp.up_proj                         0.3603 mlp
layers.30.self_attn.k_proj                    0.4971 attn
layers.30.self_attn.o_proj                    0.3637 attn
layers.30.self_attn.q_proj                    0.4206 attn
layers.30.self_attn.v_proj                    0.3977 attn
layers.31.mlp.down_proj                       0.3176 mlp
layers.31.mlp.gate_proj                       0.3752 mlp
layers.31.mlp.up_proj                         0.3620 mlp
layers.31.self_attn.k_proj                    0.4891 attn
layers.31.self_attn.o_proj                    0.3828 attn
layers.31.self_attn.q_proj                    0.4082 attn
layers.31.self_attn.v_proj                    0.3934 attn
layers.32.mlp.down_proj                       0.3308 mlp
layers.32.mlp.gate_proj                       0.3876 mlp
layers.32.mlp.up_proj                         0.3648 mlp
layers.32.self_attn.k_proj                    0.4987 attn
layers.32.self_attn.o_proj                    0.4208 attn
layers.32.self_attn.q_proj                    0.4275 attn
layers.32.self_attn.v_proj                    0.4128 attn
layers.33.mlp.down_proj                       0.3293 mlp
layers.33.mlp.gate_proj                       0.3847 mlp
layers.33.mlp.up_proj                         0.3664 mlp
layers.33.self_attn.k_proj                    0.5109 attn
layers.33.self_attn.o_proj                    0.3873 attn
layers.33.self_attn.q_proj                    0.4344 attn
layers.33.self_attn.v_proj                    0.4245 attn
layers.34.mlp.down_proj                       0.3322 mlp
layers.34.mlp.gate_proj                       0.3863 mlp
layers.34.mlp.up_proj                         0.3698 mlp
layers.34.self_attn.k_proj                    0.5280 attn
layers.34.self_attn.o_proj                    0.4212 attn
layers.34.self_attn.q_proj                    0.4521 attn
layers.34.self_attn.v_proj                    0.4376 attn
layers.35.mlp.down_proj                       0.3301 mlp
layers.35.mlp.gate_proj                       0.3818 mlp
layers.35.mlp.up_proj                         0.3652 mlp
layers.35.self_attn.k_proj                    0.5195 attn
layers.35.self_attn.o_proj                    0.4290 attn
layers.35.self_attn.q_proj                    0.4383 attn
layers.35.self_attn.v_proj                    0.4234 attn
layers.36.mlp.down_proj                       0.3263 mlp
layers.36.mlp.gate_proj                       0.3800 mlp
layers.36.mlp.up_proj                         0.3630 mlp
layers.36.self_attn.k_proj                    0.5022 attn
layers.36.self_attn.o_proj                    0.3789 attn
layers.36.self_attn.q_proj                    0.4375 attn
layers.36.self_attn.v_proj                    0.4312 attn
layers.37.mlp.down_proj                       0.3184 mlp
layers.37.mlp.gate_proj                       0.3769 mlp
layers.37.mlp.up_proj                         0.3619 mlp
layers.37.self_attn.k_proj                    0.5032 attn
layers.37.self_attn.o_proj                    0.3850 attn
layers.37.self_attn.q_proj                    0.4268 attn
layers.37.self_attn.v_proj                    0.4231 attn
layers.38.mlp.down_proj                       0.3187 mlp
layers.38.mlp.gate_proj                       0.3808 mlp
layers.38.mlp.up_proj                         0.3644 mlp
layers.38.self_attn.k_proj                    0.5116 attn
layers.38.self_attn.o_proj                    0.3827 attn
layers.38.self_attn.q_proj                    0.4212 attn
layers.38.self_attn.v_proj                    0.4066 attn
layers.39.mlp.down_proj                       0.3282 mlp
layers.39.mlp.gate_proj                       0.3924 mlp
layers.39.mlp.up_proj                         0.3744 mlp
layers.39.self_attn.k_proj                    0.4993 attn
layers.39.self_attn.o_proj                    0.3910 attn
layers.39.self_attn.q_proj                    0.4147 attn
layers.39.self_attn.v_proj                    0.4095 attn
layers.4.mlp.down_proj                        0.3429 mlp
layers.4.mlp.gate_proj                        0.5215 mlp
layers.4.mlp.up_proj                          0.4627 mlp
layers.4.self_attn.k_proj                     0.5638 attn
layers.4.self_attn.o_proj                     0.4136 attn
layers.4.self_attn.q_proj                     0.5318 attn
layers.4.self_attn.v_proj                     0.4334 attn
layers.40.mlp.down_proj                       0.3263 mlp
layers.40.mlp.gate_proj                       0.3922 mlp
layers.40.mlp.up_proj                         0.3776 mlp
layers.40.self_attn.k_proj                    0.5213 attn
layers.40.self_attn.o_proj                    0.4095 attn
layers.40.self_attn.q_proj                    0.4353 attn
layers.40.self_attn.v_proj                    0.4303 attn
layers.41.mlp.down_proj                       0.3181 mlp
layers.41.mlp.gate_proj                       0.3862 mlp
layers.41.mlp.up_proj                         0.3733 mlp
layers.41.self_attn.k_proj                    0.5297 attn
layers.41.self_attn.o_proj                    0.3824 attn
layers.41.self_attn.q_proj                    0.4385 attn
layers.41.self_attn.v_proj                    0.4225 attn
layers.42.mlp.down_proj                       0.3084 mlp
layers.42.mlp.gate_proj                       0.3760 mlp
layers.42.mlp.up_proj                         0.3626 mlp
layers.42.self_attn.k_proj                    0.4997 attn
layers.42.self_attn.o_proj                    0.3883 attn
layers.42.self_attn.q_proj                    0.4200 attn
layers.42.self_attn.v_proj                    0.4249 attn
layers.43.mlp.down_proj                       0.3058 mlp
layers.43.mlp.gate_proj                       0.3735 mlp
layers.43.mlp.up_proj                         0.3599 mlp
layers.43.self_attn.k_proj                    0.4884 attn
layers.43.self_attn.o_proj                    0.3893 attn
layers.43.self_attn.q_proj                    0.4200 attn
layers.43.self_attn.v_proj                    0.4052 attn
layers.44.mlp.down_proj                       0.3125 mlp
layers.44.mlp.gate_proj                       0.3793 mlp
layers.44.mlp.up_proj                         0.3654 mlp
layers.44.self_attn.k_proj                    0.5061 attn
layers.44.self_attn.o_proj                    0.3804 attn
layers.44.self_attn.q_proj                    0.4325 attn
layers.44.self_attn.v_proj                    0.4046 attn
layers.45.mlp.down_proj                       0.3061 mlp
layers.45.mlp.gate_proj                       0.3805 mlp
layers.45.mlp.up_proj                         0.3662 mlp
layers.45.self_attn.k_proj                    0.5208 attn
layers.45.self_attn.o_proj                    0.3675 attn
layers.45.self_attn.q_proj                    0.4377 attn
layers.45.self_attn.v_proj                    0.4081 attn
layers.46.mlp.down_proj                       0.2950 mlp
layers.46.mlp.gate_proj                       0.3822 mlp
layers.46.mlp.up_proj                         0.3676 mlp
layers.46.self_attn.k_proj                    0.5123 attn
layers.46.self_attn.o_proj                    0.3692 attn
layers.46.self_attn.q_proj                    0.4241 attn
layers.46.self_attn.v_proj                    0.4198 attn
layers.47.mlp.down_proj                       0.3019 mlp
layers.47.mlp.gate_proj                       0.3851 mlp
layers.47.mlp.up_proj                         0.3712 mlp
layers.47.self_attn.k_proj                    0.5016 attn
layers.47.self_attn.o_proj                    0.3970 attn
layers.47.self_attn.q_proj                    0.4140 attn
layers.47.self_attn.v_proj                    0.4180 attn
layers.48.mlp.down_proj                       0.2985 mlp
layers.48.mlp.gate_proj                       0.3811 mlp
layers.48.mlp.up_proj                         0.3662 mlp
layers.48.self_attn.k_proj                    0.4964 attn
layers.48.self_attn.o_proj                    0.3755 attn
layers.48.self_attn.q_proj                    0.4095 attn
layers.48.self_attn.v_proj                    0.4024 attn
layers.49.mlp.down_proj                       0.2975 mlp
layers.49.mlp.gate_proj                       0.3840 mlp
layers.49.mlp.up_proj                         0.3693 mlp
layers.49.self_attn.k_proj                    0.4935 attn
layers.49.self_attn.o_proj                    0.3861 attn
layers.49.self_attn.q_proj                    0.4028 attn
layers.49.self_attn.v_proj                    0.4040 attn
layers.5.mlp.down_proj                        0.3258 mlp
layers.5.mlp.gate_proj                        0.4901 mlp
layers.5.mlp.up_proj                          0.4190 mlp
layers.5.self_attn.k_proj                     0.5353 attn
layers.5.self_attn.o_proj                     0.4039 attn
layers.5.self_attn.q_proj                     0.4999 attn
layers.5.self_attn.v_proj                     0.4461 attn
layers.50.mlp.down_proj                       0.3157 mlp
layers.50.mlp.gate_proj                       0.3899 mlp
layers.50.mlp.up_proj                         0.3697 mlp
layers.50.self_attn.k_proj                    0.5087 attn
layers.50.self_attn.o_proj                    0.3997 attn
layers.50.self_attn.q_proj                    0.4049 attn
layers.50.self_attn.v_proj                    0.4236 attn
layers.51.mlp.down_proj                       0.3084 mlp
layers.51.mlp.gate_proj                       0.3829 mlp
layers.51.mlp.up_proj                         0.3654 mlp
layers.51.self_attn.k_proj                    0.4818 attn
layers.51.self_attn.o_proj                    0.3995 attn
layers.51.self_attn.q_proj                    0.4012 attn
layers.51.self_attn.v_proj                    0.4076 attn
layers.52.mlp.down_proj                       0.3066 mlp
layers.52.mlp.gate_proj                       0.3795 mlp
layers.52.mlp.up_proj                         0.3638 mlp
layers.52.self_attn.k_proj                    0.4984 attn
layers.52.self_attn.o_proj                    0.4014 attn
layers.52.self_attn.q_proj                    0.4050 attn
layers.52.self_attn.v_proj                    0.4143 attn
layers.53.mlp.down_proj                       0.3113 mlp
layers.53.mlp.gate_proj                       0.3768 mlp
layers.53.mlp.up_proj                         0.3608 mlp
layers.53.self_attn.k_proj                    0.4839 attn
layers.53.self_attn.o_proj                    0.3672 attn
layers.53.self_attn.q_proj                    0.3952 attn
layers.53.self_attn.v_proj                    0.4191 attn
layers.54.mlp.down_proj                       0.3042 mlp
layers.54.mlp.gate_proj                       0.3764 mlp
layers.54.mlp.up_proj                         0.3605 mlp
layers.54.self_attn.k_proj                    0.4873 attn
layers.54.self_attn.o_proj                    0.3746 attn
layers.54.self_attn.q_proj                    0.3935 attn
layers.54.self_attn.v_proj                    0.4171 attn
layers.55.mlp.down_proj                       0.3082 mlp
layers.55.mlp.gate_proj                       0.3765 mlp
layers.55.mlp.up_proj                         0.3620 mlp
layers.55.self_attn.k_proj                    0.4717 attn
layers.55.self_attn.o_proj                    0.3859 attn
layers.55.self_attn.q_proj                    0.3914 attn
layers.55.self_attn.v_proj                    0.3960 attn
layers.56.mlp.down_proj                       0.3230 mlp
layers.56.mlp.gate_proj                       0.3823 mlp
layers.56.mlp.up_proj                         0.3659 mlp
layers.56.self_attn.k_proj                    0.4961 attn
layers.56.self_attn.o_proj                    0.4055 attn
layers.56.self_attn.q_proj                    0.4045 attn
layers.56.self_attn.v_proj                    0.4305 attn
layers.57.mlp.down_proj                       0.3174 mlp
layers.57.mlp.gate_proj                       0.3788 mlp
layers.57.mlp.up_proj                         0.3653 mlp
layers.57.self_attn.k_proj                    0.4560 attn
layers.57.self_attn.o_proj                    0.3785 attn
layers.57.self_attn.q_proj                    0.3857 attn
layers.57.self_attn.v_proj                    0.3974 attn
layers.58.mlp.down_proj                       0.3296 mlp
layers.58.mlp.gate_proj                       0.3765 mlp
layers.58.mlp.up_proj                         0.3633 mlp
layers.58.self_attn.k_proj                    0.4908 attn
layers.58.self_attn.o_proj                    0.4007 attn
layers.58.self_attn.q_proj                    0.4084 attn
layers.58.self_attn.v_proj                    0.4521 attn
layers.59.mlp.down_proj                       0.3407 mlp
layers.59.mlp.gate_proj                       0.3754 mlp
layers.59.mlp.up_proj                         0.3647 mlp
layers.59.self_attn.k_proj                    0.4835 attn
layers.59.self_attn.o_proj                    0.3769 attn
layers.59.self_attn.q_proj                    0.4134 attn
layers.59.self_attn.v_proj                    0.4273 attn
layers.6.mlp.down_proj                        0.3245 mlp
layers.6.mlp.gate_proj                        0.4580 mlp
layers.6.mlp.up_proj                          0.4045 mlp
layers.6.self_attn.k_proj                     0.5033 attn
layers.6.self_attn.o_proj                     0.4261 attn
layers.6.self_attn.q_proj                     0.4597 attn
layers.6.self_attn.v_proj                     0.4283 attn
layers.60.mlp.down_proj                       0.3432 mlp
layers.60.mlp.gate_proj                       0.3767 mlp
layers.60.mlp.up_proj                         0.3669 mlp
layers.60.self_attn.k_proj                    0.4879 attn
layers.60.self_attn.o_proj                    0.3787 attn
layers.60.self_attn.q_proj                    0.4170 attn
layers.60.self_attn.v_proj                    0.4202 attn
layers.61.mlp.down_proj                       0.3600 mlp
layers.61.mlp.gate_proj                       0.3806 mlp
layers.61.mlp.up_proj                         0.3728 mlp
layers.61.self_attn.k_proj                    0.4829 attn
layers.61.self_attn.o_proj                    0.4077 attn
layers.61.self_attn.q_proj                    0.4120 attn
layers.61.self_attn.v_proj                    0.4673 attn
layers.62.mlp.down_proj                       0.3767 mlp
layers.62.mlp.gate_proj                       0.3906 mlp
layers.62.mlp.up_proj                         0.3822 mlp
layers.62.self_attn.k_proj                    0.4881 attn
layers.62.self_attn.o_proj                    0.4212 attn
layers.62.self_attn.q_proj                    0.4217 attn
layers.62.self_attn.v_proj                    0.4601 attn
layers.63.mlp.down_proj                       0.4454 mlp
layers.63.mlp.gate_proj                       0.3882 mlp
layers.63.mlp.up_proj                         0.3801 mlp
layers.63.self_attn.k_proj                    0.4714 attn
layers.63.self_attn.o_proj                    0.4389 attn
layers.63.self_attn.q_proj                    0.4018 attn
layers.63.self_attn.v_proj                    0.5048 attn
layers.7.mlp.down_proj                        0.3419 mlp
layers.7.mlp.gate_proj                        0.4475 mlp
layers.7.mlp.up_proj                          0.3858 mlp
layers.7.self_attn.k_proj                     0.4823 attn
layers.7.self_attn.o_proj                     0.4612 attn
layers.7.self_attn.q_proj                     0.4337 attn
layers.7.self_attn.v_proj                     0.4076 attn
layers.8.mlp.down_proj                        0.3565 mlp
layers.8.mlp.gate_proj                        0.4423 mlp
layers.8.mlp.up_proj                          0.3704 mlp
layers.8.self_attn.k_proj                     0.5297 attn
layers.8.self_attn.o_proj                     0.4667 attn
layers.8.self_attn.q_proj                     0.4858 attn
layers.8.self_attn.v_proj                     0.4365 attn
layers.9.mlp.down_proj                        0.3437 mlp
layers.9.mlp.gate_proj                        0.4212 mlp
layers.9.mlp.up_proj                          0.3744 mlp
layers.9.self_attn.k_proj                     0.4798 attn
layers.9.self_attn.o_proj                     0.4383 attn
layers.9.self_attn.q_proj                     0.4332 attn
layers.9.self_attn.v_proj                     0.4125 attn
