layers.0.mlp.down_proj                        0.4361 mlp
layers.4.mlp.down_proj                        0.4218 mlp
layers.4.mlp.gate_proj                        0.5650 mlp
layers.4.mlp.up_proj                          0.5160 mlp
layers.4.self_attn.k_proj                     0.6066 attn
layers.4.self_attn.o_proj                     0.4967 attn
layers.4.self_attn.q_proj                     0.5827 attn
layers.4.self_attn.v_proj                     0.4948 attn
layers.40.mlp.down_proj                       0.4201 mlp
layers.40.mlp.gate_proj                       0.4716 mlp
layers.40.mlp.up_proj                         0.4609 mlp
layers.40.self_attn.k_proj                    0.5713 attn
layers.40.self_attn.o_proj                    0.4779 attn
layers.40.self_attn.q_proj                    0.5041 attn
layers.40.self_attn.v_proj                    0.4996 attn
layers.41.mlp.down_proj                       0.4112 mlp
layers.41.mlp.gate_proj                       0.4659 mlp
layers.41.mlp.up_proj                         0.4547 mlp
layers.41.self_attn.k_proj                    0.5773 attn
layers.41.self_attn.o_proj                    0.4664 attn
layers.41.self_attn.q_proj                    0.5080 attn
layers.41.self_attn.v_proj                    0.4985 attn
layers.42.mlp.down_proj                       0.4031 mlp
layers.42.mlp.gate_proj                       0.4569 mlp
layers.42.mlp.up_proj                         0.4470 mlp
layers.42.self_attn.k_proj                    0.5591 attn
layers.42.self_attn.o_proj                    0.4667 attn
layers.42.self_attn.q_proj                    0.4931 attn
layers.42.self_attn.v_proj                    0.4966 attn
layers.43.mlp.down_proj                       0.4012 mlp
layers.43.mlp.gate_proj                       0.4553 mlp
layers.43.mlp.up_proj                         0.4450 mlp
layers.43.self_attn.k_proj                    0.5497 attn
layers.43.self_attn.o_proj                    0.4595 attn
layers.43.self_attn.q_proj                    0.4930 attn
layers.43.self_attn.v_proj                    0.4847 attn
layers.44.mlp.down_proj                       0.4050 mlp
layers.44.mlp.gate_proj                       0.4581 mlp
layers.44.mlp.up_proj                         0.4478 mlp
layers.44.self_attn.k_proj                    0.5547 attn
layers.44.self_attn.o_proj                    0.4647 attn
layers.44.self_attn.q_proj                    0.5012 attn
layers.44.self_attn.v_proj                    0.4779 attn
layers.45.mlp.down_proj                       0.3937 mlp
layers.45.mlp.gate_proj                       0.4571 mlp
layers.45.mlp.up_proj                         0.4456 mlp
layers.45.self_attn.k_proj                    0.5698 attn
layers.45.self_attn.o_proj                    0.4539 attn
layers.45.self_attn.q_proj                    0.4986 attn
layers.45.self_attn.v_proj                    0.4778 attn
layers.46.mlp.down_proj                       0.3920 mlp
layers.46.mlp.gate_proj                       0.4569 mlp
layers.46.mlp.up_proj                         0.4468 mlp
layers.46.self_attn.k_proj                    0.5591 attn
layers.46.self_attn.o_proj                    0.4507 attn
layers.46.self_attn.q_proj                    0.4882 attn
layers.46.self_attn.v_proj                    0.4852 attn
layers.47.mlp.down_proj                       0.3982 mlp
layers.47.mlp.gate_proj                       0.4626 mlp
layers.47.mlp.up_proj                         0.4522 mlp
layers.47.self_attn.k_proj                    0.5528 attn
layers.47.self_attn.o_proj                    0.4845 attn
layers.47.self_attn.q_proj                    0.4804 attn
layers.47.self_attn.v_proj                    0.4910 attn
layers.48.mlp.down_proj                       0.3891 mlp
layers.48.mlp.gate_proj                       0.4578 mlp
layers.48.mlp.up_proj                         0.4474 mlp
layers.48.self_attn.k_proj                    0.5515 attn
layers.48.self_attn.o_proj                    0.4497 attn
layers.48.self_attn.q_proj                    0.4751 attn
layers.48.self_attn.v_proj                    0.4712 attn
layers.49.mlp.down_proj                       0.3975 mlp
layers.49.mlp.gate_proj                       0.4624 mlp
layers.49.mlp.up_proj                         0.4524 mlp
layers.49.self_attn.k_proj                    0.5493 attn
layers.49.self_attn.o_proj                    0.4665 attn
layers.49.self_attn.q_proj                    0.4743 attn
layers.49.self_attn.v_proj                    0.4735 attn
layers.5.mlp.down_proj                        0.4179 mlp
layers.5.mlp.gate_proj                        0.5352 mlp
layers.5.mlp.up_proj                          0.4842 mlp
layers.5.self_attn.k_proj                     0.5847 attn
layers.5.self_attn.o_proj                     0.4923 attn
layers.5.self_attn.q_proj                     0.5554 attn
layers.5.self_attn.v_proj                     0.5183 attn
layers.50.mlp.down_proj                       0.4108 mlp
layers.50.mlp.gate_proj                       0.4727 mlp
layers.50.mlp.up_proj                         0.4589 mlp
layers.50.self_attn.k_proj                    0.5571 attn
layers.50.self_attn.o_proj                    0.4887 attn
layers.50.self_attn.q_proj                    0.4755 attn
layers.50.self_attn.v_proj                    0.4899 attn
layers.51.mlp.down_proj                       0.4098 mlp
layers.51.mlp.gate_proj                       0.4682 mlp
layers.51.mlp.up_proj                         0.4562 mlp
layers.51.self_attn.k_proj                    0.5376 attn
layers.51.self_attn.o_proj                    0.4731 attn
layers.51.self_attn.q_proj                    0.4758 attn
layers.51.self_attn.v_proj                    0.4839 attn
layers.52.mlp.down_proj                       0.4110 mlp
layers.52.mlp.gate_proj                       0.4670 mlp
layers.52.mlp.up_proj                         0.4562 mlp
layers.52.self_attn.k_proj                    0.5536 attn
layers.52.self_attn.o_proj                    0.4933 attn
layers.52.self_attn.q_proj                    0.4840 attn
layers.52.self_attn.v_proj                    0.4863 attn
layers.53.mlp.down_proj                       0.4111 mlp
layers.53.mlp.gate_proj                       0.4651 mlp
layers.53.mlp.up_proj                         0.4534 mlp
layers.53.self_attn.k_proj                    0.5383 attn
layers.53.self_attn.o_proj                    0.4631 attn
layers.53.self_attn.q_proj                    0.4741 attn
layers.53.self_attn.v_proj                    0.4830 attn
layers.54.mlp.down_proj                       0.4155 mlp
layers.54.mlp.gate_proj                       0.4647 mlp
layers.54.mlp.up_proj                         0.4529 mlp
layers.54.self_attn.k_proj                    0.5400 attn
layers.54.self_attn.o_proj                    0.4624 attn
layers.54.self_attn.q_proj                    0.4756 attn
layers.54.self_attn.v_proj                    0.4899 attn
layers.55.mlp.down_proj                       0.4142 mlp
layers.55.mlp.gate_proj                       0.4654 mlp
layers.55.mlp.up_proj                         0.4532 mlp
layers.55.self_attn.k_proj                    0.5281 attn
layers.55.self_attn.o_proj                    0.4642 attn
layers.55.self_attn.q_proj                    0.4742 attn
layers.55.self_attn.v_proj                    0.4734 attn
layers.56.mlp.down_proj                       0.4226 mlp
layers.56.mlp.gate_proj                       0.4703 mlp
layers.56.mlp.up_proj                         0.4592 mlp
layers.56.self_attn.k_proj                    0.5498 attn
layers.56.self_attn.o_proj                    0.4957 attn
layers.56.self_attn.q_proj                    0.4857 attn
layers.56.self_attn.v_proj                    0.4968 attn
layers.57.mlp.down_proj                       0.4219 mlp
layers.57.mlp.gate_proj                       0.4695 mlp
layers.57.mlp.up_proj                         0.4586 mlp
layers.57.self_attn.k_proj                    0.5167 attn
layers.57.self_attn.o_proj                    0.4764 attn
layers.57.self_attn.q_proj                    0.4689 attn
layers.57.self_attn.v_proj                    0.4734 attn
layers.58.mlp.down_proj                       0.4207 mlp
layers.58.mlp.gate_proj                       0.4687 mlp
layers.58.mlp.up_proj                         0.4579 mlp
layers.58.self_attn.k_proj                    0.5457 attn
layers.58.self_attn.o_proj                    0.4769 attn
layers.58.self_attn.q_proj                    0.4902 attn
layers.58.self_attn.v_proj                    0.5103 attn
layers.59.mlp.down_proj                       0.4212 mlp
layers.59.mlp.gate_proj                       0.4673 mlp
layers.59.mlp.up_proj                         0.4577 mlp
layers.59.self_attn.k_proj                    0.5400 attn
layers.59.self_attn.o_proj                    0.4710 attn
layers.59.self_attn.q_proj                    0.4926 attn
layers.59.self_attn.v_proj                    0.4901 attn
layers.6.mlp.down_proj                        0.4258 mlp
layers.6.mlp.gate_proj                        0.5162 mlp
layers.6.mlp.up_proj                          0.4842 mlp
layers.6.self_attn.k_proj                     0.5658 attn
layers.6.self_attn.o_proj                     0.5035 attn
layers.6.self_attn.q_proj                     0.5312 attn
layers.6.self_attn.v_proj                     0.5005 attn
layers.60.mlp.down_proj                       0.4295 mlp
layers.60.mlp.gate_proj                       0.4672 mlp
layers.60.mlp.up_proj                         0.4597 mlp
layers.60.self_attn.k_proj                    0.5448 attn
layers.60.self_attn.o_proj                    0.4596 attn
layers.60.self_attn.q_proj                    0.4947 attn
layers.60.self_attn.v_proj                    0.4871 attn
layers.61.mlp.down_proj                       0.4414 mlp
layers.61.mlp.gate_proj                       0.4676 mlp
layers.61.mlp.up_proj                         0.4624 mlp
layers.61.self_attn.k_proj                    0.5421 attn
layers.61.self_attn.o_proj                    0.4764 attn
layers.61.self_attn.q_proj                    0.4912 attn
layers.61.self_attn.v_proj                    0.5157 attn
layers.62.mlp.down_proj                       0.4972 mlp
layers.62.mlp.gate_proj                       0.4712 mlp
layers.62.mlp.up_proj                         0.4684 mlp
layers.62.self_attn.k_proj                    0.5425 attn
layers.62.self_attn.o_proj                    0.4829 attn
layers.62.self_attn.q_proj                    0.4976 attn
layers.62.self_attn.v_proj                    0.5122 attn
layers.63.mlp.down_proj                       0.5898 mlp
layers.63.mlp.gate_proj                       0.4777 mlp
layers.63.mlp.up_proj                         0.4696 mlp
layers.63.self_attn.k_proj                    0.5381 attn
layers.63.self_attn.o_proj                    0.4973 attn
layers.63.self_attn.q_proj                    0.4881 attn
layers.63.self_attn.v_proj                    0.5389 attn
layers.7.mlp.down_proj                        0.4385 mlp
layers.7.mlp.gate_proj                        0.5196 mlp
layers.7.mlp.up_proj                          0.4739 mlp
layers.7.self_attn.k_proj                     0.5490 attn
layers.7.self_attn.o_proj                     0.5105 attn
layers.7.self_attn.q_proj                     0.5135 attn
layers.7.self_attn.v_proj                     0.4885 attn
layers.8.mlp.down_proj                        0.4489 mlp
layers.8.mlp.gate_proj                        0.5150 mlp
layers.8.mlp.up_proj                          0.4634 mlp
layers.8.self_attn.k_proj                     0.5764 attn
layers.8.self_attn.o_proj                     0.5335 attn
layers.8.self_attn.q_proj                     0.5386 attn
layers.8.self_attn.v_proj                     0.5105 attn
layers.9.mlp.down_proj                        0.4379 mlp
layers.9.mlp.gate_proj                        0.5001 mlp
layers.9.mlp.up_proj                          0.4641 mlp
layers.9.self_attn.k_proj                     0.5419 attn
layers.9.self_attn.o_proj                     0.5145 attn
layers.9.self_attn.q_proj                     0.5052 attn
layers.9.self_attn.v_proj                     0.4848 attn
